,0_mean,0_std,1_mean,1_std,2_mean,2_std,3_mean,3_std,4_mean,4_std
84,0.912610934127306,0.09126844958163051,0.8950356337708616,0.10684422847589474,0.8954886619858873,0.10525727798475236,0.8997925527609834,0.10525212817433484,0.8960854240730486,0.10263321552420794
85,0.8962396123622359,0.10626080585848761,0.8796055544697285,0.11595041628441782,0.8908523387691263,0.10908739511818258,0.8901645652142444,0.10901121957247557,0.8911947271672552,0.10666614214876456
86,0.9003400687126079,0.10295823284658233,0.9106409846285349,0.09087110512054992,0.8921235892099991,0.1068839379068061,0.904111101879588,0.1045395472295588,0.9032818142919016,0.09867926310744093
87,0.9058408229368963,0.09536332031510475,0.9037035722605411,0.10243167121977793,0.8874726569486526,0.11041012548780561,0.8949917435345557,0.10535998387922742,0.8976788382063773,0.10270876851209484
88,0.905152573510064,0.10679305511019946,0.8995512038846931,0.0984122822213268,0.8940875427867427,0.10595305974136664,0.8921739897832576,0.10919304846995896,0.9038917454322183,0.09471260843607125
89,0.8982483913353718,0.10340393342481477,0.9006777709380667,0.100430124547935,0.9022609323819109,0.09989623306740956,0.8865731932349753,0.11947373437505487,0.8981928879893635,0.10323099794734392
90,0.9009064424920753,0.10297418483547327,0.9055396546903605,0.09618657843604742,0.895244247816728,0.10536645103501818,0.9030015906257709,0.10386412576942226,0.8983879026152022,0.09965109523850782
91,0.9016619870236937,0.10738615924697888,0.8913522313307667,0.10723733646487821,0.8937253343958942,0.11252109242582559,0.8916415617078045,0.11154406717660673,0.9042868349111283,0.09659069747153695
92,0.8909613369222871,0.11079536260747758,0.8890065993306377,0.1092520436762423,0.899248250496145,0.1099988315334545,0.8816472243656173,0.12255854151578677,0.9046857873969647,0.0996019217840858
93,0.9046300301920248,0.09923621970688577,0.900601907966016,0.10155489331966981,0.8952415937584023,0.10294013754535118,0.8984905009915511,0.11144532236507458,0.8956890152743426,0.10358028507775928
94,0.8979179907679371,0.10595115990576032,0.8987398285151597,0.10352553353637431,0.9114880511105053,0.08942806091996366,0.8951966369937452,0.11087060288380302,0.8863920002639718,0.11413539250619434
95,0.8943078277137939,0.10833296046218713,0.9031389406794088,0.10114760860275691,0.8939118425023488,0.10863086688822558,0.8902300494690659,0.1082324380468495,0.9061315163453989,0.09327730890190472
96,0.8948698444138552,0.10664007930326852,0.9130703936576747,0.09248234322494488,0.8866432583828363,0.11832679537172673,0.8925303428326443,0.10893559505074647,0.902946224377481,0.10083066135458453
97,0.8922309006083018,0.10692103857345897,0.9024490865028436,0.09997327352306525,0.8835664540068964,0.11542972825067248,0.8852728036920274,0.11663076553731924,0.904289339662277,0.09470829853393299
98,0.9023916380181283,0.10329380753024008,0.8928330954916271,0.10993964859256238,0.8836610599200393,0.11543171041625913,0.8957340910649244,0.10643886770537603,0.8993336155763298,0.10207878615547243
99,0.9172239625014319,0.09295330221890476,0.8909650909899752,0.10699836630735658,0.8978152968680526,0.1016902217770381,0.9075364981027424,0.09309684923833855,0.8953786583800548,0.11032786982570157
100,0.9089204571533173,0.0964297449115296,0.8896584507660545,0.11040212410503054,0.8900907083393924,0.10986112745364765,0.9088245464458294,0.09761481815109631,0.9044534095027219,0.09428631562799791
